time/episodes,time/fps,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,train/ent_coef,time/time_elapsed,rollout/success_rate,curriculum/epsilon,train/n_updates,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/ent_coef_loss,eval/clean_mean_d,eval/clean_success_rate
440,48,-4.732698917388916,0.04387115314602852,-1.98,0.00477444427087903,450,1.0,0.32266666666666666,21899,22000,0.0003,50.0,-0.9747361540794373,,
444,48,-4.664045810699463,0.04093678668141365,-2.03,0.004713317845016718,454,1.0,0.3256,22099,22200,0.0003,50.0,-0.08581823110580444,,
448,48,-4.587030410766602,0.03674914687871933,-2.0,0.004578606225550175,459,1.0,0.32853333333333334,22299,22400,0.0003,50.0,-2.7792561054229736,,
452,48,-4.86888313293457,0.038159504532814026,-2.06,0.004461328499019146,463,1.0,0.33146666666666663,22499,22600,0.0003,50.0,-1.074187159538269,,
456,48,-4.563399314880371,0.04901006817817688,-2.02,0.004472745582461357,469,1.0,0.3344,22699,22800,0.0003,50.0,1.0033447742462158,,
460,48,-4.463802814483643,0.04912375286221504,-2.05,0.0045399111695587635,475,1.0,0.3373333333333333,22899,23000,0.0003,50.0,1.3525323867797852,,
464,48,-4.696193218231201,0.036182109266519547,-2.06,0.004506615921854973,480,1.0,0.34026666666666666,23099,23200,0.0003,50.0,-0.10362431406974792,,
468,48,-4.6300272941589355,0.03687334060668945,-2.07,0.004439858254045248,484,1.0,0.3432,23299,23400,0.0003,50.0,-1.4946620464324951,,
472,48,-4.678967475891113,0.0432104654610157,-2.08,0.00430919649079442,489,1.0,0.34613333333333335,23499,23600,0.0003,50.0,-2.107997179031372,,
476,48,-4.673524856567383,0.03122114948928356,-2.13,0.004417109303176403,493,1.0,0.34906666666666664,23699,23800,0.0003,50.0,1.1930402517318726,,
480,48,-4.685020923614502,0.0357823371887207,-2.15,0.004470963031053543,497,1.0,0.352,23899,24000,0.0003,50.0,-0.44172805547714233,,
484,48,-4.566009044647217,0.041615985333919525,-2.19,0.004450216423720121,501,1.0,0.3549333333333333,24099,24200,0.0003,50.0,1.0226563215255737,,
488,48,-4.664224147796631,0.04362810030579567,-2.24,0.004443651530891657,505,1.0,0.35786666666666667,24299,24400,0.0003,50.0,0.47763746976852417,,
492,48,-4.428149223327637,0.037849701941013336,-2.21,0.004221227020025253,509,1.0,0.3608,24499,24600,0.0003,50.0,1.152289628982544,,
496,48,-4.644675254821777,0.0387488529086113,-2.17,0.0042592305690050125,513,1.0,0.3637333333333333,24699,24800,0.0003,50.0,1.2423968315124512,,
500,48,-4.464502334594727,0.03433974087238312,-2.16,0.0043022772297263145,519,1.0,0.36666666666666664,24899,25000,0.0003,50.0,-0.29197239875793457,0.012811164902010458,1.0
504,48,-4.712164878845215,0.03757805377244949,-2.24,0.0043157110922038555,524,1.0,0.3696,25099,25200,0.0003,50.0,-0.49214082956314087,,
508,48,-4.607262134552002,0.048893265426158905,-2.22,0.004275929182767868,528,1.0,0.3725333333333333,25299,25400,0.0003,50.0,0.10043919086456299,,
512,47,-4.537383556365967,0.028346646577119827,-2.27,0.0042501152493059635,533,1.0,0.37546666666666667,25499,25600,0.0003,50.0,0.15263217687606812,,
516,47,-4.35486364364624,0.03389054164290428,-2.29,0.004306840244680643,538,1.0,0.3784,25699,25800,0.0003,50.0,2.0809273719787598,,
520,47,-4.505893707275391,0.029253646731376648,-2.28,0.004254302009940147,542,1.0,0.3813333333333333,25899,26000,0.0003,50.0,-1.4460285902023315,,
524,47,-4.512454032897949,0.03989697992801666,-2.31,0.00409195851534605,546,1.0,0.38426666666666665,26099,26200,0.0003,50.0,-4.033467769622803,,
528,47,-4.60446834564209,0.03361191600561142,-2.27,0.0038810553960502148,550,1.0,0.3872,26299,26400,0.0003,50.0,-1.1457648277282715,,
532,47,-4.46065616607666,0.04753296449780464,-2.27,0.003730310592800379,554,1.0,0.39013333333333333,26499,26600,0.0003,50.0,-0.17992816865444183,,
536,48,-4.398784637451172,0.03340214490890503,-2.28,0.003648679470643401,558,1.0,0.3930666666666667,26699,26800,0.0003,50.0,0.19807490706443787,,
540,48,-4.399538040161133,0.033591896295547485,-2.27,0.0036829011514782906,562,1.0,0.39599999999999996,26899,27000,0.0003,50.0,-3.0286192893981934,,
544,48,-4.37169075012207,0.029168080538511276,-2.26,0.0036345222033560276,566,1.0,0.3989333333333333,27099,27200,0.0003,50.0,-0.4344020187854767,,
548,48,-4.379271507263184,0.03055223450064659,-2.29,0.003713728627189994,569,1.0,0.40186666666666665,27299,27400,0.0003,50.0,1.06991446018219,,
552,48,-4.248119354248047,0.03804102912545204,-2.26,0.003782276064157486,573,1.0,0.4048,27499,27600,0.0003,50.0,2.7134599685668945,,
556,48,-4.339103698730469,0.04934686794877052,-2.27,0.0037811275105923414,577,1.0,0.40773333333333334,27699,27800,0.0003,50.0,-1.1247817277908325,,
560,48,-4.1060028076171875,0.03293215483427048,-2.25,0.0034134516026824713,581,1.0,0.4106666666666667,27899,28000,0.0003,50.0,0.14744997024536133,,
564,48,-4.119792938232422,0.029069598764181137,-2.27,0.003412839723750949,585,1.0,0.41359999999999997,28099,28200,0.0003,50.0,1.7646371126174927,,
568,48,-4.2351298332214355,0.030842015519738197,-2.24,0.003453856334090233,589,1.0,0.4165333333333333,28299,28400,0.0003,50.0,-1.4227961301803589,,
572,48,-4.227484703063965,0.026033716276288033,-2.26,0.003500825259834528,593,1.0,0.41946666666666665,28499,28600,0.0003,50.0,2.3868658542633057,,
576,48,-4.256385326385498,0.02974042110145092,-2.24,0.003495460841804743,596,1.0,0.4224,28699,28800,0.0003,50.0,-0.2923833131790161,,
580,48,-4.337652683258057,0.03250721096992493,-2.18,0.003513709409162402,600,1.0,0.42533333333333334,28899,29000,0.0003,50.0,-1.0938563346862793,,
584,48,-4.159918785095215,0.040033552795648575,-2.12,0.003493581200018525,604,1.0,0.42826666666666663,29099,29200,0.0003,50.0,-0.5178900957107544,,
588,48,-4.056214809417725,0.03216392919421196,-2.09,0.003297527087852359,608,1.0,0.43119999999999997,29299,29400,0.0003,50.0,0.2711704969406128,,
592,48,-4.127622604370117,0.029240712523460388,-2.11,0.003194390796124935,611,1.0,0.4341333333333333,29499,29600,0.0003,50.0,-1.543371558189392,,
596,48,-3.896449565887451,0.02177828550338745,-2.13,0.0031367731280624866,615,1.0,0.43706666666666666,29699,29800,0.0003,50.0,1.1120415925979614,,
600,48,-3.9314374923706055,0.029390359297394753,-2.14,0.003148089163005352,621,1.0,0.44,29899,30000,0.0003,50.0,0.14274480938911438,0.006837559566819926,1.0
604,48,-4.116994380950928,0.031953081488609314,-2.12,0.0031487257219851017,625,1.0,0.44293333333333335,30099,30200,0.0003,50.0,2.3549394607543945,,
608,48,-4.056443214416504,0.026970379054546356,-2.17,0.003235837211832404,628,1.0,0.44586666666666663,30299,30400,0.0003,50.0,-1.6313813924789429,,
612,48,-4.030620574951172,0.02658022940158844,-2.14,0.0032395084854215384,633,1.0,0.4488,30499,30600,0.0003,50.0,-0.6339328289031982,,
616,48,-4.120445728302002,0.031230375170707703,-2.12,0.00326534453779459,638,1.0,0.4517333333333333,30699,30800,0.0003,50.0,-1.8461145162582397,,
620,48,-3.9692444801330566,0.030620580539107323,-2.11,0.003243174636736512,642,1.0,0.45466666666666666,30899,31000,0.0003,50.0,-1.4007567167282104,,
624,48,-4.108542442321777,0.03594475984573364,-2.1,0.0029731369577348232,646,1.0,0.4576,31099,31200,0.0003,50.0,-0.6835050582885742,,
628,48,-3.923738956451416,0.022925768047571182,-2.12,0.003037547692656517,650,1.0,0.4605333333333333,31299,31400,0.0003,50.0,3.519973039627075,,
632,48,-4.013916015625,0.02479979768395424,-2.09,0.002927405759692192,654,1.0,0.46346666666666664,31499,31600,0.0003,50.0,-1.444087028503418,,
636,48,-3.9139835834503174,0.020177051424980164,-2.06,0.002835978288203478,658,1.0,0.4664,31699,31800,0.0003,50.0,-0.5311670303344727,,
640,48,-3.8388853073120117,0.0211896114051342,-2.12,0.002821117639541626,662,1.0,0.4693333333333333,31899,32000,0.0003,50.0,-0.6642129421234131,,
644,48,-3.88774037361145,0.035709671676158905,-2.14,0.002713112160563469,665,1.0,0.47226666666666667,32099,32200,0.0003,50.0,0.3801004886627197,,
648,48,-4.050398826599121,0.03530828654766083,-2.14,0.0027217704337090254,669,1.0,0.4752,32299,32400,0.0003,50.0,-1.1313538551330566,,
652,48,-3.8594765663146973,0.024540476500988007,-2.11,0.002731766551733017,673,1.0,0.4781333333333333,32499,32600,0.0003,50.0,0.09441541135311127,,
656,48,-3.65396785736084,0.02753414213657379,-2.13,0.0027295660693198442,677,1.0,0.48106666666666664,32699,32800,0.0003,50.0,-0.9644759893417358,,
660,48,-3.8871920108795166,0.02659815177321434,-2.12,0.002757859183475375,681,1.0,0.484,32899,33000,0.0003,50.0,-0.7732583284378052,,
664,48,-3.8846523761749268,0.02964646928012371,-2.08,0.002747355028986931,685,1.0,0.48693333333333333,33099,33200,0.0003,50.0,-0.5811555981636047,,
668,48,-3.9438953399658203,0.03308595344424248,-2.13,0.002774046268314123,689,1.0,0.4898666666666667,33299,33400,0.0003,50.0,-0.5423821210861206,,
672,48,-3.744555711746216,0.03384772315621376,-2.09,0.0026877569034695625,693,1.0,0.49279999999999996,33499,33600,0.0003,50.0,0.557278037071228,,
676,48,-3.7975049018859863,0.01674877479672432,-2.11,0.0025522320065647364,696,1.0,0.4957333333333333,33699,33800,0.0003,50.0,-1.025720477104187,,
680,48,-3.7476887702941895,0.02042209729552269,-2.1,0.002594638615846634,700,1.0,0.49866666666666665,33899,34000,0.0003,50.0,0.41058704257011414,,
