time/episodes,rollout/success_rate,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,curriculum/epsilon,train/critic_loss,train/ent_coef,train/learning_rate,train/n_updates,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,time/time_elapsed,eval/clean_mean_d,eval/clean_success_rate
472,0.8500000238418579,-2.0879621505737305,-10.92,20,1.0384,0.12807536125183105,0.005137027241289616,0.0003,23499,50.0,23600,-4.961347579956055,1135,,
476,0.8500000238418579,-0.060042381286621094,-10.92,20,1.0472,0.07912011444568634,0.005148795899003744,0.0003,23699,50.0,23800,-5.095853805541992,1144,,
480,0.8299999833106995,-1.8323776721954346,-11.63,20,1.056,0.1249236911535263,0.00517082866281271,0.0003,23899,50.0,24000,-4.912441730499268,1154,,
484,0.8199999928474426,0.7821685075759888,-12.6,20,1.0648,0.11528800427913666,0.00509115494787693,0.0003,24099,50.0,24200,-4.8734049797058105,1164,,
488,0.8100000023841858,-1.7332154512405396,-13.16,20,1.0735999999999999,0.13076817989349365,0.0049828700721263885,0.0003,24299,50.0,24400,-4.885040283203125,1173,,
492,0.8100000023841858,0.8699013590812683,-13.31,20,1.0824,0.12174499034881592,0.004829190205782652,0.0003,24499,50.0,24600,-4.6403608322143555,1183,,
496,0.7900000214576721,-0.057748109102249146,-14.4,20,1.0912,0.1391625851392746,0.004853841383010149,0.0003,24699,50.0,24800,-5.050976276397705,1193,,
500,0.7699999809265137,-1.4412592649459839,-15.32,20,1.0999999999999999,0.1450437307357788,0.004680091515183449,0.0003,24899,50.0,25000,-4.898952007293701,1206,0.010245614732025513,1.0
504,0.7599999904632568,-1.7585468292236328,-15.78,20,1.1,0.16114622354507446,0.004642670042812824,0.0003,25099,50.0,25200,-4.976458549499512,1215,,
508,0.7599999904632568,0.91379314661026,-15.59,20,1.1,0.14246883988380432,0.004647436551749706,0.0003,25299,50.0,25400,-4.927694797515869,1225,,
512,0.7200000286102295,-2.2095272541046143,-17.44,20,1.1,0.1708683967590332,0.0045911287888884544,0.0003,25499,50.0,25600,-4.636743068695068,1234,,
516,0.7200000286102295,1.1555798053741455,-18.0,20,1.1,0.12326566129922867,0.004575138445943594,0.0003,25699,50.0,25800,-4.795271396636963,1244,,
520,0.7200000286102295,-2.832780122756958,-18.34,20,1.1,0.15505126118659973,0.004571923986077309,0.0003,25899,50.0,26000,-4.7517805099487305,1254,,
524,0.699999988079071,-1.9262681007385254,-19.07,20,1.1,0.17730830609798431,0.004324719309806824,0.0003,26099,50.0,26200,-5.134040832519531,1263,,
528,0.699999988079071,-2.185483932495117,-19.3,20,1.1,0.12317059934139252,0.004299957770854235,0.0003,26299,50.0,26400,-4.962613105773926,1273,,
532,0.6899999976158142,-3.3459582328796387,-19.7,20,1.1,0.15232044458389282,0.004247142933309078,0.0003,26499,50.0,26600,-4.75387716293335,1282,,
536,0.6700000166893005,-1.9865761995315552,-20.11,20,1.1,0.10523926466703415,0.0041853985749185085,0.0003,26699,50.0,26800,-4.851068019866943,1292,,
540,0.6600000262260437,-1.6040198802947998,-20.25,20,1.1,0.15842986106872559,0.004167826846241951,0.0003,26899,50.0,27000,-4.844006061553955,1301,,
544,0.6399999856948853,-0.8423790335655212,-21.1,20,1.1,0.1413753181695938,0.004225973971188068,0.0003,27099,50.0,27200,-4.60141134262085,1311,,
548,0.6299999952316284,-0.17004093527793884,-21.57,20,1.1,0.15238037705421448,0.004125647246837616,0.0003,27299,50.0,27400,-4.3970627784729,1320,,
552,0.6299999952316284,4.544342517852783,-21.75,20,1.1,0.17445090413093567,0.0041778115555644035,0.0003,27499,50.0,27600,-4.359488010406494,1330,,
556,0.6200000047683716,-0.9067873358726501,-22.39,20,1.1,0.15595778822898865,0.004324267618358135,0.0003,27699,50.0,27800,-4.546978950500488,1339,,
