train/actor_loss,train/ent_coef_loss,train/n_updates,time/episodes,time/fps,train/ent_coef,time/total_timesteps,curriculum/epsilon,rollout/success_rate,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,eval/clean_success_rate,eval/clean_mean_d
-0.6113908886909485,-5.058381080627441,14899,300,15,0.017958804965019226,15000,0.121594,0.8999999761581421,-5.38,0.14260849356651306,0.0003,50.0,961,1.0,0.009234271022810589
-0.2642718553543091,-5.70257568359375,15099,304,15,0.017190106213092804,15200,0.125994,0.9300000071525574,-4.59,0.11042040586471558,0.0003,50.0,973,,
-0.174475759267807,-4.763617992401123,15299,308,15,0.016459224745631218,15400,0.130394,0.9300000071525574,-4.42,0.12609583139419556,0.0003,50.0,986,,
-0.22469592094421387,-3.155989170074463,15499,312,15,0.015805834904313087,15600,0.134794,0.9399999976158142,-4.02,0.1114090234041214,0.0003,50.0,998,,
-0.3200105130672455,-3.0908918380737305,15699,316,15,0.015186102129518986,15800,0.13919399999999998,0.9399999976158142,-3.72,0.12937837839126587,0.0003,50.0,1011,,
-0.556189239025116,-3.9022834300994873,15899,320,15,0.01464561652392149,16000,0.143594,0.9399999976158142,-3.56,0.09817536920309067,0.0003,50.0,1024,,
-0.38231712579727173,-3.269883632659912,16099,324,15,0.014151460491120815,16200,0.147994,0.9399999976158142,-3.38,0.10186025500297546,0.0003,50.0,1037,,
-0.42688998579978943,-4.51794958114624,16299,328,15,0.01362875010818243,16400,0.152394,0.949999988079071,-3.18,0.10404632985591888,0.0003,50.0,1049,,
-0.34144657850265503,-3.277184009552002,16499,332,15,0.013145973905920982,16600,0.156794,0.949999988079071,-3.03,0.10641542077064514,0.0003,50.0,1062,,
-0.4671629071235657,-3.0204429626464844,16699,336,15,0.012672663666307926,16800,0.161194,0.9599999785423279,-2.71,0.10109250247478485,0.0003,50.0,1075,,
-0.4744146764278412,-3.0476551055908203,16899,340,15,0.012217461131513119,17000,0.165594,0.9599999785423279,-2.59,0.1126779168844223,0.0003,50.0,1088,,
-0.576888918876648,-2.2998387813568115,17099,344,15,0.011840580962598324,17200,0.169994,0.9599999785423279,-2.5,0.10246448963880539,0.0003,50.0,1100,,
-0.18799874186515808,-3.094804286956787,17299,348,15,0.011556955985724926,17400,0.174394,0.9700000286102295,-2.42,0.13321055471897125,0.0003,50.0,1113,,
-0.5633998513221741,-1.4466248750686646,17499,352,15,0.011209432035684586,17600,0.178794,0.9900000095367432,-2.42,0.08855609595775604,0.0003,50.0,1125,,
-0.5379741191864014,-0.2347733974456787,17699,356,15,0.01103094220161438,17800,0.183194,0.9900000095367432,-2.27,0.1014970988035202,0.0003,50.0,1138,,
-0.5751888155937195,-0.6287287473678589,17899,360,15,0.010806593112647533,18000,0.18759399999999998,0.9900000095367432,-2.19,0.10569068789482117,0.0003,50.0,1151,,
-0.6288834810256958,-1.992644190788269,18099,364,15,0.010556444525718689,18200,0.191994,0.9900000095367432,-2.15,0.07901470363140106,0.0003,50.0,1164,,
-0.5443743467330933,0.5601427555084229,18299,368,15,0.010488702915608883,18400,0.19639399999999999,0.9900000095367432,-2.14,0.07874096930027008,0.0003,50.0,1176,,
-0.568943977355957,-1.7594082355499268,18499,372,15,0.010405744425952435,18600,0.200794,0.9900000095367432,-2.06,0.09791621565818787,0.0003,50.0,1189,,
-0.9315738081932068,-2.4989919662475586,18699,376,15,0.010068890638649464,18800,0.205194,0.9900000095367432,-2.08,0.08035348355770111,0.0003,50.0,1202,,
-0.8328123092651367,-1.070007085800171,18899,380,15,0.010044027119874954,19000,0.209594,0.9900000095367432,-2.04,0.07144255936145782,0.0003,50.0,1215,,
-1.0655746459960938,0.4460173547267914,19099,384,15,0.01009355578571558,19200,0.213994,0.9900000095367432,-2.08,0.07851682603359222,0.0003,50.0,1227,,
-1.0018930435180664,-1.039170503616333,19299,388,15,0.009970707818865776,19400,0.218394,0.9900000095367432,-2.1,0.0964326336979866,0.0003,50.0,1240,,
-0.9616727828979492,0.40184056758880615,19499,392,15,0.009746091440320015,19600,0.222794,0.9900000095367432,-2.08,0.0818101242184639,0.0003,50.0,1254,,
-1.042028546333313,1.1407079696655273,19699,396,15,0.0095521816983819,19800,0.227194,0.9900000095367432,-2.06,0.08003982901573181,0.0003,50.0,1266,,
-1.1278653144836426,-0.8840144276618958,19899,400,15,0.009547973982989788,20000,0.231594,0.9900000095367432,-2.07,0.0724005177617073,0.0003,50.0,1283,1.0,0.009233705894912693
-1.3373092412948608,0.17954108119010925,20099,404,15,0.00962215755134821,20200,0.23599399999999998,0.9900000095367432,-2.09,0.0655500516295433,0.0003,50.0,1296,,
-0.9647437334060669,1.1422816514968872,20299,408,15,0.009494070895016193,20400,0.240394,1.0,-2.02,0.07596302032470703,0.0003,50.0,1309,,
-1.1136705875396729,0.6811352968215942,20499,412,15,0.00928563717752695,20600,0.24479399999999998,1.0,-2.03,0.09276234358549118,0.0003,50.0,1321,,
-1.510096549987793,-0.4828023612499237,20699,416,15,0.009110614657402039,20800,0.249194,1.0,-2.03,0.07289662957191467,0.0003,50.0,1334,,
-1.550279140472412,0.33307862281799316,20899,420,15,0.008846396580338478,21000,0.253594,1.0,-2.08,0.08785983920097351,0.0003,50.0,1347,,
-1.5418075323104858,-1.0340663194656372,21099,424,15,0.008694246411323547,21200,0.257994,1.0,-2.09,0.06797748804092407,0.0003,50.0,1359,,
-1.3273265361785889,-1.222164273262024,21299,428,15,0.008605954237282276,21400,0.262394,1.0,-2.11,0.06772080808877945,0.0003,50.0,1372,,
-1.4703576564788818,-0.6027183532714844,21499,432,15,0.008403226733207703,21600,0.266794,1.0,-2.09,0.05863223969936371,0.0003,50.0,1385,,
-1.572843074798584,-1.6299092769622803,21699,436,15,0.008168209344148636,21800,0.271194,1.0,-2.09,0.0782909095287323,0.0003,50.0,1397,,
-1.6223100423812866,-0.05804109573364258,21899,440,15,0.007910145446658134,22000,0.275594,1.0,-2.1,0.07796754688024521,0.0003,50.0,1410,,
-1.5070877075195312,0.2891911268234253,22099,444,15,0.00784354843199253,22200,0.27999399999999997,1.0,-2.14,0.0707046389579773,0.0003,50.0,1422,,
-1.7487752437591553,0.11972515285015106,22299,448,15,0.0077580478973686695,22400,0.284394,1.0,-2.21,0.06774510443210602,0.0003,50.0,1435,,
-1.775820255279541,-0.33901458978652954,22499,452,15,0.007701059337705374,22600,0.288794,1.0,-2.18,0.044127508997917175,0.0003,50.0,1448,,
-1.7272992134094238,1.318793535232544,22699,456,15,0.007585592567920685,22800,0.293194,1.0,-2.18,0.06830456852912903,0.0003,50.0,1460,,
-1.7533456087112427,-0.7586871385574341,22899,460,15,0.007642586715519428,23000,0.29759399999999997,1.0,-2.19,0.06398911774158478,0.0003,50.0,1473,,
-1.8539425134658813,-0.6315550804138184,23099,464,15,0.007499713450670242,23200,0.301994,1.0,-2.19,0.063023641705513,0.0003,50.0,1486,,
-1.9373492002487183,0.007595539093017578,23299,468,15,0.007352611515671015,23400,0.306394,1.0,-2.27,0.05502745136618614,0.0003,50.0,1498,,
-1.8828864097595215,-0.09046605974435806,23499,472,15,0.007172514218837023,23600,0.310794,1.0,-2.29,0.06668511033058167,0.0003,50.0,1511,,
-1.73691987991333,-0.222319558262825,23699,476,15,0.007111900486052036,23800,0.315194,1.0,-2.26,0.06288276612758636,0.0003,50.0,1523,,
-1.950518250465393,-1.7851440906524658,23899,480,15,0.006926163099706173,24000,0.319594,1.0,-2.25,0.06824956089258194,0.0003,50.0,1536,,
